Feature,Gain,Cover,Frequency
Location,0.145602849700673,0.127252878535088,0.108361204013378
mean_county,0.110879063281396,0.0335022348555068,0.0133779264214047
Lat,0.0885011757277473,0.0741003934169602,0.0550167224080268
Foam.material,0.0882358369895968,0.021159035201549,0.0249163879598662
Seat,0.0804184731216142,0.0303919751179221,0.0222408026755853
station_num,0.06449045866027,0.0578024264145503,0.0387959866220736
Station,0.0631092804737738,0.0851974294012235,0.174749163879599
Fishing.nets.and.ropes,0.0516942373587506,0.0229458897196647,0.0230769230769231
County,0.0480857395942782,0.112978640136769,0.0851170568561873
Lon,0.0445592283061583,0.0664431811159859,0.0387959866220736
Season,0.0352211177072182,0.0587087272652372,0.126923076923077
X5砂礫混合灘,0.0201979697750636,0.0220292899956745,0.0193979933110368
縣市,0.0191717069034178,0.00507734453850749,0.00351170568561873
Substrate.type,0.0186931296568891,0.0294959731405384,0.0193979933110368
Disposable.cup...straw...tableware,0.0153683709994484,0.0196193536427115,0.0150501672240803
Shore.shape,0.0149519488429679,0.0124513378236421,0.0127090301003344
Plastic.bottle.container,0.012285985654976,0.0215452429504212,0.0240802675585284
X2暴露人造結構物,0.0106005487692605,0.0208758161857093,0.0260869565217391
Float,0.00984531145943245,0.0183062472965458,0.0173913043478261
Glass.jar,0.00932959822048998,0.01487672248656,0.0173913043478261
X4沙灘,0.00886758981933039,0.0120496817648149,0.0217391304347826
X6礫石灘,0.00612284044729197,0.0206698387196441,0.0204013377926421
Plastic.bag,0.00593836943103139,0.0127603040227399,0.00836120401337793
X1暴露岩岸,0.00546117025671627,0.0180333271540094,0.0173913043478261
Others,0.00531000194415171,0.0132495005046448,0.0130434782608696
Metal,0.0044004658789256,0.0198922737852479,0.0123745819397993
X3暴露岩盤,0.00416861458693951,0.00650373849100908,0.0107023411371237
X8遮蔽岩岸,0.00344961521008002,0.0159941502399638,0.00769230769230769
X7開闊潮間帶,0.00216224776916243,0.0106747821788296,0.0125418060200669
Fishing.equipment,0.00121113193533136,0.00646769243444767,0.00250836120401338
Paper,0.000963519301301103,0.0013594512760304,0.00150501672240803
X10遮蔽濕地,0.000566084653653521,0.00426888298420153,0.00367892976588629
Region,0.000135344756508466,0.00326474283713362,0.00133779264214047
X9遮蔽潮間帶,9.72806154385751e-07,5.14943665163031e-05,0.000334448160535117
